STT,Từ vựng,Nghĩa
1,人生 (じんせい),"Đời người, cuộc đời"
2,人間 (にんげん),con người
3,人 (ひと),người
4,祖先 (そせん),"tổ tiên, tổ tông"
5,親戚 (しんせき),họ hàng
6,夫婦 (ふうふ),vợ chồng
7,長男 (ちょうなん),trưởng nam
8,主人 (しゅじん),"chồng, chủ tiệm"
9,双子 (ふたご),sinh đôi
10,迷子 (まいご),"lạc đường, lạc lối"
11,他人 (たにん),"người dưng, người lạ"
12,敵 (てき),kẻ thủ
13,味方 (みかた),"bạn bè, đồng minh"
14,筆者 (ひっしゃ),"tác giả, người viết"
15,寿命 (じゅみょう),tuổi thọ
16,将来 (しょうらい),tương lai
17,才能 (さいのう),tài năng
18,能力 (のうりょく),năng lực
19,長所 (ちょうしょ),"sở trường, điểm mạnh"
20,個性 (こせい),"cá tính, tính cách"
21,遺伝 (いでん),di truyền
22,動作 (どうさ),"động tác, hành vi, thao tác"
23,真似 (まね),"bắt chước, copy"
24,睡眠 (すいみん),ngủ
25,食欲 (しょくよく),thèm ăn
26,外食 (がいしょく),ăn ngoài
27,家事 (かじ),"việc nhà, nội trợ"
28,出産 (しゅっさん),sinh đẻ
29,介護 (かいご),Điều dưỡng
30,共働き (ともばたらき),2 vợ chồng cùng đi làm
31,出勤 (しゅっきん),đi làm
32,出世 (しゅっせ),"thành đạt, thăng tiến"
33,地位 (ちい),"địa vị, chức vị"
34,受験 (じゅけん),"Dự thi, tham gia kỳ thi"
35,専攻 (せんこう),chuyên ngành
36,支度 (したく),"chuẩn bị, sửa soạn"
37,全身 (ぜんしん),"toàn bộ cơ thể, toàn thân"
38,しわ,nếp nhăn
39,服装 (ふくそう),"quần áo, trang phục"
40,礼 (れい),"lễ nghi, cảm ơn, cúi chào"
41,世辞 (せじ),"nịnh, ca tụng, khen, tâng bốc"
42,言い訳 (いいわけ),"giải thích, biện minh"
43,話題 (わだい),"chủ đề, đề tài"
44,秘密 (ひみつ),bí mật
45,尊敬 (そんけい),tôn kính
46,謙そん (けんそん),khiên tốn
47,期待 (きたい),"mong chờ, kỳ vọng"
48,苦労 (くろう),gian khổ
49,意志 (いし),ý chí
50,感情 (かんじょう),"cảm xúc, cảm tính"
51,材料 (ざいりょう),"nguyên liệu, vật liệu"
52,石 (いし),đá
53,ひも,dây
54,券 (けん),vé
55,名簿 (めいぼ),"danh bạ, danh sách"
56,表 (ひょう),"bảng biểu, mặt trước"
57,針 (はり),kim
58,栓 (せん),"nút, nắp ( chai...)"
59,湯気 (ゆげ),"Hơi nước, khí"
60,日当たり (ひあたり),nơi có ánh sáng chiếu vào
61,空 (から),"trống rỗng, bầu trời"
62,斜め (ななめ),"Nghiêng, chéo, khác thường"
63,履歴 (りれき),"lý lịch, lịch sử"
64,娯楽 (ごらく),"thú vui, giải trí"
65,司会 (しかい),"chủ trì buổi tiệc, MC"
66,歓迎 (かんげい),hoan nghênh
67,窓口 (まどぐち),"Quầy giao dịch, quầy tiếp khách"
68,手続き (てつづき),"thủ tục, quy trình"
69,徒歩 (とほ),đi bộ
70,駐車 (ちゅうしゃ),đỗ xe
71,違反 (いはん),vi phạm
72,平日 (へいじつ),ngày thường
73,日付 (ひづけ),ngày tháng
74,日中 (にっちゅう),Trong ngày
75,日程 (にってい),"lịch trình, hành trình"
76,日帰り (ひがえり),đi về trong ngày
77,順序 (じゅんじょ),thứ tự
78,時期 (じき),"thời kì, thời điểm"
79,現在 (げんざい),hiện tại
80,臨時 (りんじ),tạm thời
81,費用 (ひよう),"chi phí, lệ phí"
82,定価 (ていか),giá niêm yết
83,割引 (わりびき),giảm giá
84,おまけ,"quà khuyến mại, quà kèm theo"
85,無料 (むりょう),miễn phí
86,現金 (げんきん),tiền mặt
87,合計 (ごうけい),tổng cộng
88,収入 (しゅうにゅう),thu nhập
89,支出 (ししゅつ),chi tiêu
90,予算 (よさん),ngân sách
91,利益 (りえき),"lợi nhuận, lợi ích"
92,赤字 (あかじ),"lỗ, thâm hụt"
93,経費 (けいひ),kinh phí
94,勘定 (かんじょう),"thanh toán, tính tiền"
95,弁償 (べんしょう),bồi thường
96,請求 (せいきゅう),yêu cầu
97,景気 (けいき),tình hình ( thường nói về kinh tế )
98,募金 (ぼきん),"quyên góp, gây quỹ"
99,募集 (ぼしゅう),tuyển dụng
100,価値 (かち),giá trị
101,好む (このむ),thích
102,嫌う (きらう),ghét
103,願う (ねがう),"ước, yêu cầu"
104,甘える (あまえる),nũng nịu
105,かわいがる,"yêu chiều, cưng chiều"
106,気付く (きづく),"nhận ra, chú ý đến"
107,疑う (うたがう),nghi ngờ
108,苦しむ (くるしむ),khổ sở
109,悲しむ (かなしむ),buồn
110,がっかりする,"thất vọng, chán nản"
111,励ます (はげます),"động viên, khích lệ"
112,うなずく,"gật đầu, đồng ý"
113,張り切る (はりきる),"hăng hái, làm việc chăm chỉ, cố gắng"
114,威張る (いばる),"kiêu ngạo, ba hoa khoác lác"
115,怒鳴る (どなる),"quát mắng, phát cáu"
116,暴れる (あばれる),"nổi giận, quậy phá, làm ẩm ĩ, nổi khùng"
117,しゃがむ,ngồi xổm
118,どく,ra
119,どける,"dịch chuyển, tránh ra"
120,かぶる,"phủ lên, trùm lên, đậy"
121,かぶせる,tránh đội
122,かじる,"nhai, cắn, gặm, xé"
123,撃つ (うつ),bắn
124,漕ぐ (こぐ),"đạp xe, chèo, lái"
125,敷く (しく),"trải thảm, lát"
126,つぐ,"rót, dội, tưới"
127,配る (くばる),phân phát
128,放る (ほうる),"ném, bỏ mặc"
129,掘る (ほる),"đào, khai quật, ngoáy mũi"
130,まく,"rắc, rải, gieo"
131,計る (はかる),"đếm thời gian, đo đạc"
132,占う (うらなう),"dự đoán, bói"
133,引っ張る (ひっぱる),"kéo, lôi kéo, gây trở ngại"
134,突く (つく),"chọc, đâm, chống ( cằm, tay...)"
135,突き当たる (つきあたる),"cuối đường, đối mặt với"
136,立ち止まる (たちどまる),dừng lại
137,近寄る (ちかよる),"tiếp cận, tới gần"
138,横切る (よこぎる),"xuyên qua, băng ngang qua"
139,転ぶ (ころぶ),ngã
140,つまずく,"vấp, sẩy chân, vướng"
141,ひく,"chèn, cán qua, tông phải"
142,おぼれる,"chìm, đắm, chết đuổi"
143,痛む (いたむ),đau
144,かかる,"mắc bệnh, lây bệnh"
145,酔う (よう),say
146,吐く (はく),"nôn, ói"
147,診る (みる),"chuẩn đoán, khám"
148,見舞う (みまう),"đi thăm bệnh, hứng chịu, ập đến"
149,勤める (つとめる),làm việc
150,稼ぐ (かせぐ),"kiếm tiền, câu giờ"
